"Activity.Id" "Activity.Name" "Subject.Id" "Standard.Deviation" "Mean"
6 "LAYING" 1 0.542294404739403 -0.605476454475559
4 "SITTING" 1 0.546477904027143 -0.631305794429848
5 "STANDING" 1 0.542181337789553 -0.645308052260776
1 "WALKING" 1 0.452722654264638 -0.317732449943276
3 "WALKING_DOWNSTAIRS" 1 0.455514566936833 -0.295886896276383
2 "WALKING_UPSTAIRS" 1 0.484862873610122 -0.405409679548549
6 "LAYING" 2 0.543318302012276 -0.637868335799658
4 "SITTING" 2 0.536914141147994 -0.638502696898794
5 "STANDING" 2 0.536059426538189 -0.634368668422514
1 "WALKING" 2 0.471751410540144 -0.384182365060794
3 "WALKING_DOWNSTAIRS" 2 0.465729490758389 -0.258386533659573
2 "WALKING_UPSTAIRS" 2 0.466703992931453 -0.362505213825313
6 "LAYING" 3 0.53124691328834 -0.639359163028114
4 "SITTING" 3 0.535481364875035 -0.620719872215977
5 "STANDING" 3 0.523981202663951 -0.624776960528716
1 "WALKING" 3 0.47042947054323 -0.385340426338184
3 "WALKING_DOWNSTAIRS" 3 0.471565414517055 -0.349073324403032
2 "WALKING_UPSTAIRS" 3 0.483280166456723 -0.422659805550886
6 "LAYING" 4 0.538918856382756 -0.628793596851745
4 "SITTING" 4 0.530636923654938 -0.625015003142872
5 "STANDING" 4 0.530351097607765 -0.616539404062263
1 "WALKING" 4 0.485536384535955 -0.428926556121431
3 "WALKING_DOWNSTAIRS" 4 0.485503779291866 -0.362279241336623
2 "WALKING_UPSTAIRS" 4 0.482342658990012 -0.413663216039928
6 "LAYING" 5 0.544391929156741 -0.629700648871992
4 "SITTING" 5 0.531734627480468 -0.624953001788792
5 "STANDING" 5 0.526482578726867 -0.616783629851426
1 "WALKING" 5 0.471349048704243 -0.377022872572947
3 "WALKING_DOWNSTAIRS" 5 0.479605858322798 -0.29551989425845
2 "WALKING_UPSTAIRS" 5 0.471016513212762 -0.354881276328096
6 "LAYING" 6 0.533051183737078 -0.617370768055779
4 "SITTING" 6 0.528560255624084 -0.623359624590683
5 "STANDING" 6 0.524918864445532 -0.627199473708842
1 "WALKING" 6 0.462995436937977 -0.33608896964098
3 "WALKING_DOWNSTAIRS" 6 0.478007541818861 -0.197717923120407
2 "WALKING_UPSTAIRS" 6 0.464916100757488 -0.329226755714927
6 "LAYING" 7 0.542283798100629 -0.626220374309485
4 "SITTING" 7 0.536419278331034 -0.626759735498091
5 "STANDING" 7 0.528953245701607 -0.63162134585134
1 "WALKING" 7 0.458658161670587 -0.305402520857604
3 "WALKING_DOWNSTAIRS" 7 0.473530402086289 -0.31572264004353
2 "WALKING_UPSTAIRS" 7 0.478967138009984 -0.425795525584097
6 "LAYING" 8 0.54552114969283 -0.625003037660362
4 "SITTING" 8 0.537875923565333 -0.635634639796221
5 "STANDING" 8 0.537725697835807 -0.637369079524455
1 "WALKING" 8 0.46042789591661 -0.298402860373074
3 "WALKING_DOWNSTAIRS" 8 0.458724749672543 -0.19235927660664
2 "WALKING_UPSTAIRS" 8 0.464582765249912 -0.292029131324599
6 "LAYING" 9 0.530063039309266 -0.626352700139186
4 "SITTING" 9 0.524475751851574 -0.625480989888988
5 "STANDING" 9 0.526030674232032 -0.631650029047065
1 "WALKING" 9 0.467267674726799 -0.370153875751717
3 "WALKING_DOWNSTAIRS" 9 0.475828264325837 -0.311736887825803
2 "WALKING_UPSTAIRS" 9 0.480856175330876 -0.425459895228338
6 "LAYING" 10 0.538143814511992 -0.631521349566716
4 "SITTING" 10 0.542251226544214 -0.637974761451321
5 "STANDING" 10 0.526755493498941 -0.628826680892612
1 "WALKING" 10 0.459226854544395 -0.32568764155288
3 "WALKING_DOWNSTAIRS" 10 0.463337371199746 -0.261869369727711
2 "WALKING_UPSTAIRS" 10 0.463053071179259 -0.344213622293371
6 "LAYING" 11 0.539562164233576 -0.641447844192305
4 "SITTING" 11 0.53609946156127 -0.63399587725037
5 "STANDING" 11 0.536202658765753 -0.646266679442262
1 "WALKING" 11 0.4778994116884 -0.429748599977013
3 "WALKING_DOWNSTAIRS" 11 0.477173185821431 -0.347247892005097
2 "WALKING_UPSTAIRS" 11 0.494681275282595 -0.433620340133675
6 "LAYING" 12 0.528718342661708 -0.628067187684298
4 "SITTING" 12 0.52622870168125 -0.63423319110327
5 "STANDING" 12 0.530219182625889 -0.625623687791274
1 "WALKING" 12 0.465934707083466 -0.354098420816317
3 "WALKING_DOWNSTAIRS" 12 0.479102128871457 -0.310083688001952
2 "WALKING_UPSTAIRS" 12 0.4801841508273 -0.42018663657112
6 "LAYING" 13 0.553755547011914 -0.622241685125317
4 "SITTING" 13 0.543066636603673 -0.636077269367909
5 "STANDING" 13 0.535187318003595 -0.637207918000213
